T_params, C_nondim_curve, K_nondim_curve
3.181818181818181768e-01,5.764176324022774606e-02,4.503673088271420433e-01
3.409090909090908283e-01,5.764354394294772532e-02,4.510428453311562391e-01
3.636363636363636465e-01,5.764527064410499696e-02,4.517161316141473093e-01
3.863636363636363535e-01,5.764694333447575175e-02,4.523871682244289816e-01
4.090909090909090051e-01,5.764856200457713770e-02,4.530559557051848651e-01
4.318181818181816567e-01,5.765012664466709347e-02,4.537224945945116383e-01
4.545454545454543083e-01,5.765163724474444557e-02,4.543867854254624583e-01
4.772727272727273484e-01,5.765309379454875566e-02,4.550488287260893161e-01
5.000000000000000000e-01,5.765449628356020956e-02,4.557086250194845589e-01
5.227272727272727071e-01,5.765584470099962416e-02,4.563661748238232452e-01
5.454545454545453032e-01,5.765713903582833644e-02,4.570214786524024464e-01
5.681818181818180102e-01,5.765837927674818258e-02,4.576745370136812707e-01
5.909090909090910504e-01,5.765956541220134540e-02,4.583253504113215526e-01
6.136363636363636465e-01,5.766069743037029877e-02,4.589739193442247678e-01
6.363636363636363535e-01,5.766177531917775212e-02,4.596202443065712240e-01
6.590909090909089496e-01,5.766279906628662966e-02,4.602643257878578087e-01
6.818181818181816567e-01,5.766376865909984134e-02,4.609061642729341268e-01
7.045454545454543638e-01,5.766468408476032453e-02,4.615457602420394156e-01
7.272727272727272929e-01,5.766554533015092604e-02,4.621831141708384050e-01
7.500000000000000000e-01,5.766635238189429802e-02,4.628182265304568443e-01
7.727272727272727071e-01,5.766710522635281472e-02,4.634510977875158644e-01
7.954545454545453032e-01,5.766780384962856554e-02,4.640817284041666713e-01
8.181818181818180102e-01,5.766844823756313299e-02,4.647101188381236869e-01
8.409090909090910504e-01,5.766903837573757186e-02,4.653362695426987994e-01
8.636363636363636465e-01,5.766957424947236760e-02,4.659601809668333372e-01
8.863636363636363535e-01,5.767005584382726285e-02,4.665818535551301549e-01
9.090909090909089496e-01,5.767048314360113254e-02,4.672012877478866621e-01
9.318181818181816567e-01,5.767085613333206712e-02,4.678184839811242446e-01
9.545454545454543638e-01,5.767117479729706730e-02,4.684334426866210155e-01
9.772727272727272929e-01,5.767143911951207180e-02,4.690461642919412366e-01
1.000000000000000000e+00,5.767164908373181159e-02,4.696566492204645171e-01
